pays,ville,nom,poste
United Kingdom,London,UCL Museums,Marketing Manager
United States,Newark,University of Delaware Museum Studies,Assistant to the Director
Japan,Tokyo,The Ueno Royal Museum,広報担当
Brasil,Ouro Preto,UFOP,Estudante
Japan,Tokyo,Ota Memorial Museum of Art,主席学芸員
Canada,Saskatoon,Ukrainian Museum of Canada,Director and CEO
Canada,Lethbridge,University of Lethbridge Art Gallery,Director/Curator
United Kingdom,Belfast,Ulster Museum,Consumer Marketing Executive
United Kingdom,Belfast,Ulster Folk & Transport Museum,Consumer Marketing Executive
Japan,Toba,TOBA SEA-FOLK MUSEUM,広報
United States,Austin,UMLAUF Sculpture Garden & Museum,Development Officer
United States,Ann Arbor,University of Michigan Museum of Natural History,Communications Coordinator
Italy,Mantova,unesco mantova e sabbioneta,Social media manager
Germany,Erfurt,Forschungsbibliothek Gotha,Webmaster
Mexico,Montemorelos,Universidad de Montemorelos,Estudiante
Hungary,Pecs,Pécs University History Collection,librarian
France,Lille,UNISCIEL,Chef de projets
France,Strasbourg,Jardin des sciences,Responsable de la coordination des actions de culture scientifique et technique
France,Marseille,Université d'Aix-Marseille,Chargée de médiation scientifique
United Kingdom,London,University of Westminster,Potgraduate Student
United Kingdom,Aberdeen,University of Aberdeen Museums,Curatorial Assistant (Collections)
United States,Greenville,Upcountry History Museum,Community Engagement Coordinator
Australia,Brisbane,UQ Art Museum,Digital Communications Officer
Russia,Ekaterinburg ,Ekaterinburg Gallery of Modern Art ,специалист по интегрированным интернет-коммуникациям
United Kingdom,Reading,Ure Museum of Greek Archaeology,Education Officer
United States,Richmond,University of Richmond Museums,Student Marketing Assistant
Mexico,Ciudad de México,Urbanpanorama,Program Manager 
Canada,Québec,Musée des Ursulines de Québec,Responsable des communications
United States,San Diego,University Galleries,Executive Assistant
United States,"Washington, D.C. ",The National Archives of the United States,write-editor
United States,Charlottesville,The Fralin Museum of Art at the University of Virginia,Docent Coordinator
United States,Madison,University of Wisconsin Geology Museum,Museum Curator
United Kingdom,London,Victoria and Albert Museum,Marketing Manager
United States,Richmond,Virginia Center for Architecture,Marketing Manager
United States,Roanoke,History Museum of Western Virginia,Membership and Visitor Services Coordinator
Italy,Castelfranco di Sotto,Valdarno Musei,comunicatrice
Spain,Valencia,Museu Valencià d'Etnologia,Community manager
Italy,Argenta,Ecomuseo di Argenta,operatore museale
United Kingdom,Redbridge,Valentines Mansion & Gardens,Marketing Officer
Canada,Vancouver,Vancouver Biennale,Social Media Specialist
Netherlands,Eindhoven,Van Abbemuseum,Senior Online Communications
Canada,Vancouver,Vancouver Art Gallery,Communications Specialist
Netherlands,Amsterdam,Van Gogh Museum,Consultant Online Media
Canada,Vancouver,Vancouver Maritime Museum,Marketing Coordinator
Italy,Varese,VareseMusei,coordinatrice
Sweden,Karlstad,Värmlands Museum,Museum Director
Germany,Dresden,Verkehrsmuseum Dresden,Mitarbeiter Neue Medien/Öffentlichkeitsarbeit
United States,Vero Beach,Vero Beach Museum of Art,Director of Marketing and Communciations
Canada,Vancouver,Vancouver Holocaust Education Centre,Collections Assistant
United Kingdom,Liverpool,Victoria Gallery & Museum,Visitor Services Assistant
Spain,Barcelona,Fundació Vila Casas,Jefa de Prensa
Spain,Villajoyosa,Vilamuseu,Responsable de Difusión
France,Nice,Villa Arson,Chargée des publics
Italy,Genova,museo d'arte contemporanea Villa Croce,relazioni esterne
Italy,Roma,Villa Médicis,Chargée de la communication et de l’information
Germany,München,Museum Villa Stuck,Social-Media-Redakteur 
United States,Milwaukee,Villa Terrace Decorative Arts Museum,Visitor Services Manager
Luxembourg,Luxembourg,Villa Vauban,Conservateur Adjoint
France,Cergy,Le Carreau,Attachée de presse et community manager twitter 
France,Saint-Denis,Musée d'art et d'histoire de Saint-Denis,Responsable du service des publics
France,Villevêque,commune de Villevêque,chargé de mission tourisme et culture
United States,Boston,"The Vilna Shul, Boston's Center for Jewish Culture",Program Manager
Canada,Toronto,Vineca  Gray,Principle
Spain,Vilafranca del Penedès,"VINSEUM, Museum of the Wine Cultures of Catalonia",Communication manager
United States,Virginia Beach,Virginia Museum of Contemporary Art,PR & Marketing Specialist
France,Chusclan,Le Visiatome,Responsable marketing et communication
Denmark,Copenhagen,Visit Carlsberg,Project Coordinator
United States,Pearlington,INFINITY Science Center,Social Media/Marketing Coordinator
Italy,Milano,VISITALIA TOURIST CARD,CEO
Germany,Berlin,visitBerlin,Social Media
South Africa,Johannesburg,Constitution HIll,Marketing Coordinator
United States,Grapevine,Grapevine Convention & Visitors Bureau,Communications Coordinator
Italy,Venezia,Fondazione Musei Civici di Venezia,web master / social media editor
Canada,Brampton,"Peel Art Gallery, Museum and Archives",Reprographics specialist (and social media)
Italy,Venezia,VITRARIA GLASS +A MUSEUM,Collaboratore
Italy,Gardone Riviera,Il Vittoriale degli Italiani,Coordinatrice Progetti Speciali
United Kingdom,Peterborough,Vivacity Culture & Leisure,Heritage Events Officer
United States,Martinsville,Virginia Museum of Natural History,Deputy Director
United Kingdom,Manchester,Museum of Science & Industry,Communications Officer
Canada,Winnipeg,Winnipeg Art Gallery,Social Media Consultant
United States,Philadelphia,Wagner Free Institute of Science,Program & Communications Manager
Canada,Hamilton,Workers Arts and Heritage Centre,Executive Director
New Zealand,Hamilton ,Waikato Museum,Online Coordinator
Japan,Tokyo,Wakayama Art Museum ,館長代理
United States,Minneapolis,Walker Art Center,Digital Marketing Associate
United Kingdom,Liverpool,Walker Art Gallery,Media Officer
United Kingdom,London,The Wallace Collection,Marketing and Digital Officer
United States,Baltimore,The Walters Art Museum,Manager of Web and Social Media
United States,Warrenville,Warrenville Historical Society,Director
United States,San Francisco,CCA Wattis Institute for Contemporary Arts,Communications Associate
United Kingdom,Guildford,Watts Gallery,Marketing Assistant
United Kingdom,Newbury,West Berkshire Museum,Museum Manager
United Kingdom,Kingsbridge,Kingsbridge Cookworthy Museum,Curatorial Assistant
Canada,Saskatoon,The Western Development Museum,Director of Marketing
Netherlands,Rotterdam,Witte de With Center for Contemporary Art,"PR, Marketing and Communication Associate"
United Kingdom,Singleton,Weald and Downland Open Air Museum,Marketing Manager
United States,West Chicago ,West Chicago City Museum,Director
United States,Minneapolis,Weisman Art Museum,Communications & Marketing Director
United States,Clinton,Wellin Museum of Art,Manager of Educational Programming and Outreach
United Kingdom,Edinburgh,Historic Scotland,Online Content Officer
United Kingdom,Wrexham,All-Wales Audience Development Team,Marketing Project Officer
Germany,Halle,Werkleitz,ÖA/Presse
Australia,Hobart,Wesley Hobart Museum,Project Volunteer
United States,Hemet,Western Science Center,Marketing
United Kingdom,Bury St Edmunds,West Stow Anglo Saxon Village,Heritage Officer
United Kingdom,Wakefield,Wakefield Museums,Cultural Officer: Learning and Skills
United States,Flint,Whaley Historic House Museum,Executive Director
Canada,Waterford,Waterford Heritage & Agricultural Museum,Curator/Director
United States,Millville,Wheaton Arts and Cultural Center,Technology ans Special Projects Manager
Canada,White Rock,White Rock Museum & Archives,"Collections, Exhibits & Programming Coordinator"
United Kingdom,Manchester,The Whitworth,Digital Communivcations Officer
United Kingdom,London,The Wiener Library for the Study of the Holocaust and Genocide,Community and Outreach Officer
United States,Boston,Wiley Publishing,Marketing Manager - Humanities Journals
United States,Wilmington,The Children's Museum of Wilmington,Marketing and Development Intern
United Kingdom,New Tredegar,Winding House,Museums and Heritage Officer
United Kingdom,Birmingham,Winterbourne House and Garden,Senior Visitor Services Assistant
United States,Winterthur,Winterthur Museum,Social Media Manager
United States,Madison,Wisconsin Veterans Museum,Sr. Marketing Specialist
United Kingdom,Nottingham,William Booth Birthplace Museum,Museum Officer
United Kingdom,London,William Morris Gallery,Marketing & Audience Development Officer
United Kingdom,Wroxton,WO Bentley Memorial Foundation,Freelance marketer
United States,Miami Beach,Wolfsonian-FIU,Digital Outreach Strategist
United Kingdom,Nottingham,Wollaton Hall,Commercial Development Officer
United States,"Washington, D.C.",National Museum of Women in the Arts,Manager of Digital Engagement
United Kingdom,Ashington,Woodhorn Museum,Director
United States,Alexandria,Woodlawn and the Pope-Leighey House,Senior Associate for Visitor Services
United States,Wausau,Leigh Yawkey Woodson Art Museum,marketing & communications manager
United Kingdom,Liverpool,World Museum,Media Officer
United States,Saint-Louis,World Chess Hall of Fame,Administrative Assistant
Sweden,Stockholm,National Museums of World Culture,Web Editor
United Kingdom,Worthing  ,Worthing Museum and Art Gallery ,Museum Assistant 
Canada,Kitchener,Unda Tellus Museum,Supervisor of Marketing and Partnerships
United States,Cleveland,Western Reserve Historical Society,Marketing Manager
United States,Appleton,Wriston Art Galleries,Director
United States,"Washington, D.C.",President Woodrow Wilson House,Social Media Coordinator
United Kingdom,Derby,W. W. Winter,Marketing
United Kingdom,Bradford,West Yorkshire Textile Heritage Project ,West Yorkshire Textile Heritage Project Officer
Israel,Jerusalem,Yad Vashem - The Holocaust Martyrs' and Heroes Remembrance Authority,Web Content & Social Media Coordinator
United States,Yakima,Yakima Valley Museum,Curator of Programs
United States,New Haven,Yale Center for British Art,Senior Associate of Communications and Marketing
Japan,Tokyo,Yamatane Museum of Art,学芸部長
United States,Raleigh,Historic Yates Mill County Park,Program Director
Japan,Yamaguchi,Yamaguchi Center for Arts and Media [YCAM],学芸普及課副専門員
Australia,Melbourne,YCW Archive and Research Centre,Collections Worker/Social Media Coordinator
Japan,Yokohama,Yokohama History Museum,学芸員
Japan,Yokosuka,YOKOSUKA MUSEUM OF ART,広報係
United Kingdom,York,Merchant Adventurers' Hall,Hall Manager and Audience Development Officer
United States,York,York County Heritage Trust,Director of Marketing and Public Relations
United Kingdom,York,York Museums Trust,E-Communications Co-ordinator
Japan,Saitama ,土屋仁応,土屋仁応（彫刻家）
United Kingdom,London,The Public Catalogue Foundation,Operations Manager
United Kingdom,Wakefield,Yorkshire Sculpture Park,Communications Assistant
United Kingdom,Hartlepool,Museum of Hartlepool,"Cultural Officer, Collections Access"
Japan,Tokyo,Museum of Contemporary Art Tokyo,Chief Curator
Canada,Whitehorse,Yukon Arts Centre ,Gallery Intern 
Mexico,Ciudad de México,Universidad Nacional Autónoma de México,Ayudante en el área de Servicios Educativos del Museo Nacional de San Carlos
France,Henrichemont ,Petit Musée Rigolo de Zèbréric ,Président
France,Paris,Zen+dCO,"CEO Zen+dCO, muséographe"
Switzerland,Bern,Zentrum Paul Klee,Verantwortliche Digitale Kommunikation
United States,New Brunswick,Zimmerli Art Museum at Rutgers University,Communications Coordinator
Bénin,Ouidah,Fondation Zinsou,Présidente 
Germany,Karlsruhe,Zentrum für Kunst und Medientechnologie,Wissenschaftliche Mitarbeiterin
France,Besançon,Muséum de Besançon,Assistante Marketing
United States,Kennesaw,Zuckerman Museum of Art,Outreach + Education Coordinator
Bangladesh,Chittagong,Chittagong University Museum,Display Officer/Assistant Curator
Japan,Gifu,Museum of recollections of art education,主宰
Kenya,Emali,Kamba Cultural Center and Museum,Director
Taiwan,Taipei,Union Catalog of Digital Archives Taiwan ,Research Assistant
Italy,Partanna,Castello Grifeo,Funzionario
Taiwan,Taichung Wufeng District,The wufeng Lin family museum of Taiwan ,curator
Taiwan,Taichung Wufeng District,Ataabu Culture Foundation,curator
Belgium,Morlanwelz,Musée royal de Mariemont,Communication
Italy,Genova,museo villa croce,direttore artistico
Canada,Victoria Road,Museum of Temporary Art,Curator
Italy,Crema,Museo civico di Crema e del Cremasco,Responsabile Servizi educativi
France,Chéniers,Ecomusée TUILERIE de Pouligny,Directeur
Georgia,Tbilisi,Georgian Museum Association,Projects coordinator
Egypt,Cairo,"Egyptian Museum, Cairo",Head of Documentation 
Egypt,Suez Governorate,Suez National Museum,General director
France,Guebwiller,Musée Théodore Deck,Chargée de Développement Culturel
France,Vic-sur-Seille,Musée départemental Georges de la Tour,Attachée de presse
France,Marsal,Musée départemental du Sel,Attachée de presse
France,Gravelotte,Musée départemental de la Guerre de 1870 et de l'Annexion,Attachée de presse
France,Manderen,Château de Malbrouck,Attachée de presse
France,Bliesbruck,Parc archéologique Européen de Bliesbruck-Reinheim,Attachée de presse
France,Saint-Avold,Centre des Archives Industrielles et Techniques de la Moselle,Attachée de presse
France,Scy-Chazelles,Maison de Robert Schuman,Attachée de presse
France,Colmar,musée Unterlinden,Documentaliste scientifique
Egypt,Ismailia,ismailiamuseum,curator
Canada,Rouyn-Noranda,Réseau muséal de l'Abitibi-Témiscamingue,Coordonnatrice
France,Duras,Castro de Duras,Chargée de communication
Poland,Warsaw,Museum of University of Warsaw,creative manager
Russia,Yaroslavl,Yaroslavl State Historical-Architectural and Art Museum-Reserved,manager
Germany,Hamburg,Museum für Völkerkunde Hamburg,Marketing und Presse
Germany,Chemnitz,Staatliches Museum für Archäologie Chemnitz,Kuratorin
Germany,München,Haus der Kunst,Digital Communication
Argentina,Rosario,"Museo Provincial de Ciencias Naturales ""Dr. Ángel Gallardo"" ",Comunicación digital
